http://www.jamstec.go.jp/frsgc/research/d1/iod/DATA/emi.monthly.txt



Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1894:6:16:0 -0.707381 -0.406218 -0.121741 -0.443402
1894:7:16:0 -0.641086 -0.178335 -0.0109944 -0.546421
1894:8:16:0 -0.584727 -0.330384 -0.163669 -0.3377
1894:9:16:0 -0.831477 -0.426115 0.00563315 -0.621235
1894:10:16:0 -0.633656 -0.393436 -0.116224 -0.378826
1894:11:16:0 -0.667616 -0.564568 -0.168004 -0.30133
1894:12:16:0 -0.43574 -0.326106 -0.220524 -0.162425
1895:1:16:0 -0.547042 -0.368803 -0.145327 -0.289977
1895:2:16:0 -0.339821 -0.3969 -0.151374 -0.0656843
1895:3:16:0 -0.280745 -0.610321 -0.176873 0.112852
1895:4:16:0 -0.264844 -0.383526 -0.203632 0.0287353
1895:5:16:0 -0.2335 -0.268622 -0.186957 -0.00571084
1895:6:16:0 -0.235011 -0.291391 0.0840513 -0.131341
1895:7:16:0 -0.152372 -0.125738 -0.0260453 -0.0764806
1895:8:16:0 0.312306 0.25146 -0.111744 0.242448
1895:9:16:0 0.214017 0.324766 -0.104764 0.104016
1895:10:16:0 0.0161161 0.536123 -0.0832606 -0.210315
1895:11:16:0 0.148309 0.550775 -0.193499 -0.0303288
1895:12:16:0 0.0925567 0.56697 -0.0946158 -0.143621
1896:1:16:0 -0.0405492 0.532867 0.151711 -0.382838
1896:2:16:0 -0.102119 0.30341 0.0890712 -0.29836
1896:3:16:0 0.0769907 0.0928253 -0.0484205 0.0547882
1896:4:16:0 0.00418945 0.152626 0.0721234 -0.108185
1896:5:16:0 0.0980885 0.39013 -0.0400989 -0.0769271
1896:6:16:0 -0.168689 0.536778 -0.106569 -0.383793
1896:7:16:0 0.3554 0.592293 -0.175506 0.147007
1896:8:16:0 0.644706 1.07433 -0.47495 0.345018
1896:9:16:0 0.663586 1.04841 -0.53269 0.405727
1896:10:16:0 0.556545 0.810588 -0.626777 0.464639
1896:11:16:0 0.751737 1.50696 -0.321451 0.158984
1896:12:16:0 0.685066 1.39584 -0.332303 0.153299
1897:1:16:0 0.638672 1.07874 -0.318641 0.258623
1897:2:16:0 0.513893 0.899691 -0.0902938 0.109194
1897:3:16:0 0.288189 0.804048 -0.0809411 -0.0733649
1897:4:16:0 -0.0215415 0.468352 0.11615 -0.313793
1897:5:16:0 -0.0230115 0.443026 0.048356 -0.268702
1897:6:16:0 0.0417286 0.313488 0.0277887 -0.12891
1897:7:16:0 0.166874 0.203518 -0.0504919 0.0903607
1897:8:16:0 0.147277 0.207907 0.0438874 0.02138
1897:9:16:0 0.0958719 -0.0875273 -0.0814529 0.180362
1897:10:16:0 -0.160307 0.103063 0.413062 -0.418369
1897:11:16:0 -0.41543 -0.100857 0.309111 -0.519557
1897:12:16:0 -0.408043 -0.284732 0.240018 -0.385686
1898:1:16:0 -0.531936 -0.321908 0.219138 -0.480551
1898:2:16:0 -0.455114 -0.352771 0.12144 -0.339449
1898:3:16:0 -0.434751 -0.402583 0.0409823 -0.253951
1898:4:16:0 -0.252476 -0.398654 -0.0210685 -0.0426148
1898:5:16:0 -0.292532 -0.525275 0.0206735 -0.0402313
1898:6:16:0 -0.194889 -0.517389 -0.175687 0.151649
1898:7:16:0 -0.377342 -0.0114102 -0.417443 -0.162915
1898:8:16:0 -0.553099 -0.0790284 -0.517851 -0.254659
1898:9:16:0 -0.37813 -0.497448 -0.246055 -0.00637841
1898:10:16:0 -0.222822 -0.00662437 0.0926128 -0.265816
1898:11:16:0 -0.42796 -0.0541007 0.0415104 -0.421665
1898:12:16:0 -0.572627 -0.0955168 -0.0219543 -0.513892
1899:1:16:0 -0.678546 0.0532146 0.0544762 -0.732392
1899:2:16:0 -0.583899 -0.115553 0.0736461 -0.562945
1899:3:16:0 -0.44118 0.0692949 0.099206 -0.525431
1899:4:16:0 -0.253126 0.0867882 0.0390602 -0.31605
1899:5:16:0 -0.0369544 0.259511 -0.0237413 -0.154839
1899:6:16:0 -0.0883155 0.351651 -0.0503595 -0.238962
1899:7:16:0 0.137027 0.00146248 -0.00485592 0.138724
1899:8:16:0 0.323296 1.03697 -0.076441 -0.15697
1899:9:16:0 0.0803612 1.02708 -0.33472 -0.265818
1899:10:16:0 0.598285 0.941745 -0.507668 0.381246
1899:11:16:0 0.780459 1.00446 -0.384425 0.470442
1899:12:16:0 0.879754 0.842952 -0.328887 0.622722
1900:1:16:0 0.711474 1.16343 -0.312296 0.285908
1900:2:16:0 0.586319 1.23941 -0.0315646 -0.0176035
1900:3:16:0 0.511423 1.14145 -0.0342994 -0.0421542
1900:4:16:0 0.442401 0.845417 0.0863237 -0.0234697
1900:5:16:0 0.405021 0.689611 0.0602828 0.0300745
1900:6:16:0 0.422228 0.805619 0.141064 -0.0511131
1900:7:16:0 0.484902 0.564427 0.0951126 0.155133
1900:8:16:0 0.499254 0.288867 0.0600004 0.324821
1900:9:16:0 0.467335 0.267398 0.0207937 0.323239
1900:10:16:0 0.452596 -0.0147387 -0.188184 0.554057
1900:11:16:0 0.346276 -0.0182597 -0.119274 0.415043
1900:12:16:0 0.603209 0.11157 0.114237 0.490306
1901:1:16:0 0.628764 0.106347 -0.0330287 0.592105
1901:2:16:0 0.299925 -0.0390454 -0.119878 0.379387
1901:3:16:0 0.231316 -0.26976 -0.0645178 0.398455
1901:4:16:0 0.159228 -0.245545 0.0559875 0.254007
1901:5:16:0 0.113501 -0.514262 0.0837201 0.328772
1901:6:16:0 -0.034913 -0.577979 0.0837416 0.212206
1901:7:16:0 0.0229983 -0.440124 -0.13606 0.31109
1901:8:16:0 0.0774065 -0.282678 -0.169736 0.303614
1901:9:16:0 -0.148384 -0.320282 -0.147526 0.0855194
1901:10:16:0 -0.097717 -0.0146049 -0.0481427 -0.0663432
1901:11:16:0 -0.242956 0.408068 -0.154754 -0.369613
1901:12:16:0 -0.225412 0.483061 -0.0706943 -0.431595
