 http://polarmet.osu.edu/NAO/Azores_mslp.txt
 MONTHLY PRESSURE ANOMALIES FOR PONTA DELGADA, AZORES

      JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC 
1967   -1.5    1.7    6.5    1.2    0.3    2.5   -0.7    0.4   -0.2    3.3    3.1    0.8
1968    4.5   -6.3    5.5   -3.8    2.3   -0.5   -0.7    0.4   -0.2   -5.7   -5.9   -1.2
1969  -10.5  -11.3   -9.5    5.2   -0.7   -1.5    0.3   -0.6    3.8   -1.7   -0.9    6.8
1970  -14.5    7.7   -1.5    3.2    1.3    1.5   -0.7   -0.6    0.8    0.3    1.1   -0.2
1971   -4.7    2.4    3.7   -4.9    2.3    1.1   -0.8    2.9   -2.7   -1.4    7.2    1.9
1972    0.3    1.2    0.9    3.8    5.6    3.6   -1.7    0.8   -3.5   -3.3    3.8    0.9
1973    1.2   10.8    1.0   -5.1   -1.3    2.2    1.8    1.4    0.5    0.0   -0.1    3.4
1974    0.5    3.6    0.3    0.8   -1.5   -3.1    1.8    1.2    2.3    3.5    1.4    4.1
1975    2.9   -4.5    0.1    3.3    1.3   -0.2   -1.9    0.1    3.4   -1.0    3.3    0.0
1976    4.3    0.6    3.2    2.6    2.4   -0.5   -3.5   -4.9   -4.6    1.2    3.1   -4.3
1977   -1.9   -3.5   -2.7    2.9    2.4   -0.9    2.4    2.1   -0.7    0.0   -2.6   -6.5
1978    7.9  -13.6    6.9   -1.6    1.6    2.6   -1.5   -1.9    1.0   -1.3    4.0   -9.5
1979   -6.5   -6.2    4.0    0.1    1.4   -0.1    1.1    1.1    0.5   -0.7    2.3    2.1
1980   -2.7    1.8    0.4   -2.7   -2.2    3.8   -0.2   -2.3    3.6   -1.2   -4.9    6.2
1981    9.3    3.1   -8.7    1.5   -1.5   -1.5    2.7    0.8   -1.1    3.5   -2.1   -2.9
1982   -2.8   -0.1    5.6   -3.0    2.1   -3.3   -0.5    3.8   -0.5    1.1    3.4    6.9
1983    7.1   -0.8    5.1   -1.8   -0.7   -2.4   -0.9    3.2   -2.3    4.0  -10.7   -0.4
1984   13.1    5.0   -3.7   -6.7    3.0    2.3   -1.6    1.7    1.1    2.1   -1.8    2.6
1985   -5.8   -6.7    4.0   -0.3   -1.5   -3.3    0.3    1.2   -2.1    0.8   -4.7   -1.0
1986   11.7   -4.1    7.9    0.6    1.3    1.0    0.8   -2.8   -3.5    4.7    5.8    3.1
1987  -10.7   -3.0   -1.2   -2.2   -2.4    1.0    0.6   -2.5   -3.2    1.2    1.4   -8.6
1988    4.3    3.6   -0.5   -3.9   -2.4    1.2   -0.2   -0.6    1.3   -2.4   -6.4    1.0
1989    6.9    8.5    4.6    2.5   -2.6   -2.5    0.0    0.0   -2.7    0.6   -2.0  -13.1
1990    6.3    2.0    4.8    5.6   -2.0    1.8   -0.4    0.2   -1.0   -0.3   -3.1    2.5
1991    1.0    2.9   -2.0    1.8    5.0    1.0   -1.3   -0.8    0.2   -0.4    1.6   -0.8
1992   -6.1    4.2    8.6    2.9   -0.7    0.2   -0.3    1.0    0.1   -0.1    1.2    1.1
1993    1.1    4.8   -0.8    2.5   -6.7   -0.4    1.4    0.8    0.7   -2.9    3.4    8.7
1994    9.1   -2.4    9.6    1.8   -1.2    0.7   -0.6   -0.4    2.2   -2.7   -3.1    1.6
1995    4.0    4.9    3.9   -0.7   -1.4   -3.2   -3.3   -1.5    2.2   -4.1   -4.8   -9.4
1996   -8.1    6.0   -7.6   -4.1   -3.0    1.3    1.6    0.4    1.8    1.4    7.1   -8.2
1997   -6.7    8.5    1.8   -3.9   -2.4   -4.5    2.2   -0.1   -1.2   -5.4   -2.5   -4.1
1998   -1.2   -1.1    3.0    3.7    0.3    1.3    1.6    0.6   -0.6    3.8    1.9    2.5
1999    4.6   10.1    1.3   -1.2   -1.9    1.8   -2.3   -8.1   -1.7    1.3    3.1    4.5
2000    4.3    9.7    2.5   -4.0    0.7    0.8   -2.4    1.8   -0.1    5.6    0.2   -6.3
2001    1.3    1.4   -6.9    5.4   -2.3   -1.5    1.6   -0.6   -3.5    0.1    5.3   -9.5
2002    1.3    4.8    1.6    2.9    2.9    2.4    2.0    1.0   -6.2   -3.2    1.8   -6.2
2003    6.1    2.0   -0.7   -4.6    0.3   -2.6   -0.4   -2.3   -2.0    3.5    0.2   -3.3
2004   -3.4   -4.4    4.6    1.3    1.5   -1.9   -1.1   -1.0    3.1   -4.3    1.5    6.3
2005    5.2    3.3   -9.9   -0.1   -0.8   -3.1    0.1    2.0    1.6	-9999.0	-9999.0	-9999.0
